X,Y,Area
31,266,2.0
119,264,3.5
91,264,2.5
299,263,4.0
1277,261,6.0
1172,273,156.5
333,261,1.5
211,261,6.0
1161,260,6.5
1150,267,149.5
94,257,3.5
67,258,7.0
238,254,2.5
347,258,62.0
1170,256,55.5
200,253,22.5
272,253,23.5
28,251,22.0
158,246,3.0
1183,245,1.5
195,244,1.0
90,246,23.0
1269,244,13.5
186,251,29.5
131,252,56.5
351,243,11.5
1148,241,2.5
167,260,116.5
1278,239,6.0
144,251,61.0
22,239,2.0
245,237,8.0
39,240,17.0
136,236,3.0
303,245,79.0
89,237,24.5
67,234,1.5
1226,232,1.5
285,240,56.0
1236,231,2.0
369,245,204.5
300,233,2.5
260,232,6.5
99,234,18.5
356,231,19.0
114,242,284.5
172,229,17.0
162,230,52.0
1246,225,6.0
361,224,5.0
1234,223,48.5
136,220,1.5
91,222,11.5
1223,226,52.0
381,222,18.5
1210,224,87.0
194,219,17.0
127,221,28.0
213,216,2.5
223,216,7.5
95,214,2.0
304,220,87.5
39,216,11.5
25,214,5.0
348,210,5.0
211,210,2.0
1237,210,19.0
393,209,6.0
358,211,20.0
125,210,6.0
83,209,2.0
291,207,3.0
1225,207,1.0
269,226,406.5
149,218,132.5
231,208,16.0
177,218,184.5
7,205,1.5
356,204,0.5
219,207,7.0
108,211,33.5
285,204,3.0
225,233,403.0
93,206,9.0
201,205,32.5
73,211,95.0
402,203,4.0
223,200,3.0
20,203,34.5
334,199,21.0
289,198,1.5
363,199,7.0
210,200,16.0
343,204,99.0
198,196,2.5
213,192,1.0
96,195,17.5
196,192,5.5
153,196,44.0
220,191,6.5
165,196,69.5
55,190,1.0
324,195,50.0
113,187,0.5
1241,194,166.0
413,187,1.0
1261,190,101.0
320,186,0.5
275,194,109.5
201,186,3.5
255,193,126.0
172,187,6.0
207,180,0.5
36,184,26.5
1233,181,41.0
372,178,5.0
122,180,27.5
1272,178,23.5
396,184,55.0
376,200,285.0
1255,176,9.0
224,177,9.5
89,184,103.0
60,180,10.5
122,174,0.5
238,185,211.0
191,183,78.5
22,182,85.5
89,173,1.5
1243,173,32.0
8,179,67.0
400,171,8.5
217,169,3.5
1230,168,3.0
259,173,53.0
1256,167,29.0
1274,166,42.0
1218,165,0.5
386,165,2.5
1224,163,6.5
104,168,47.0
244,164,15.0
406,161,8.5
393,166,14.0
128,160,2.0
84,161,6.0
38,160,0.5
118,161,2.0
1252,160,20.5
74,158,1.0
14,157,0.5
1266,158,16.0
258,159,30.0
1234,156,6.0
105,155,1.0
1170,159,49.5
415,157,20.0
409,152,2.0
174,154,1.0
390,155,28.0
1256,150,19.5
1149,155,58.5
436,151,13.0
402,153,47.0
1272,146,25.5
143,151,44.5
82,145,5.5
446,150,23.0
176,145,5.5
153,142,5.5
1262,141,12.0
422,144,59.0
411,140,4.5
68,152,124.0
125,143,49.5
93,138,12.5
448,138,4.0
105,135,7.0
89,133,0.5
1182,137,104.5
210,133,4.5
72,132,3.5
10,133,5.0
1137,133,82.0
156,133,18.0
230,128,0.5
223,132,25.0
134,134,27.0
198,127,0.5
169,135,51.5
16,126,4.0
80,124,3.0
420,123,2.5
1264,121,2.5
470,121,15.0
238,121,1.0
